Категория затрат;Статья расходов;Год 1 (As-Is);Год 2 (As-Is);Год 3 (As-Is);Год 1 (To-Be);Год 2 (To-Be);Год 3 (To-Be)
CapEx;Локальные серверы и ПК (As-Is - 33% обновление парка / To-Be - нет);5.00;5.00;5.00;0.00;0.00;0.00
CapEx;Планшеты и шлюзы HAL (To-Be - закупка 100 шт в год 1, далее 10% замена);0.00;0.00;0.00;5.00;0.50;0.50
CapEx;Разработка и облачная миграция (R&D, одноразовые инвестиции);0.00;0.00;0.00;15.00;0.00;0.00
OpEx;Лицензии на локальное ПО (Windows Server, SQL Server);5.00;5.00;5.00;0.00;0.00;0.00
OpEx;Облачная инфраструктура и SaaS (Managed DB, Cloud POS);0.00;0.00;0.00;3.00;3.00;3.00
OpEx;ФОТ ИТ-поддержки (Выезды vs Удаленная поддержка);11.00;11.00;11.00;3.60;3.60;3.60
OpEx;Каналы связи (As-Is базовые, To-Be с резервированием 4G);2.40;2.40;2.40;3.60;3.60;3.60
Итого;;23.40;23.40;23.40;30.20;10.70;10.70
Кумулятивный итог;;23.40;46.80;70.20;30.20;40.90;51.60
Разница (Экономия To-Be по отношению к As-Is);;-6.80;12.70;12.70;;;
Кумулятивная экономия;;-6.80;5.90;18.60;;;
